HGNC	criteria
ESR1	'Association of genetic variants and gene expression levels with longevity'
ESR1	'Age-related changes in gene expression, methylation or protein activity'
ESR1	'Age-related changes in gene expression, methylation or protein activity in humans'
ESR1	'Regulation of genes associated with aging'
ESR2	'Age-related changes in gene expression, methylation or protein activity'
ETF1	'Age-related changes in gene expression, methylation or protein activity in humans'
ETFDH	'Age-related changes in gene expression, methylation or protein activity in humans'
ETNK1	'Age-related changes in gene expression, methylation or protein activity in humans'
ETNPPL	'Age-related changes in gene expression, methylation or protein activity in humans'
ETS2	'Age-related changes in gene expression, methylation or protein activity in humans'
ETV6	'Age-related changes in gene expression, methylation or protein activity in humans'
EWSR1	'Age-related changes in gene expression, methylation or protein activity in humans'
EXO1	'Association of genetic variants and gene expression levels with longevity'
EXOC3L2	'Association of genetic variants and gene expression levels with longevity'
EXOC5	'Age-related changes in gene expression, methylation or protein activity in humans'
EXOC7	'Age-related changes in gene expression, methylation or protein activity in humans'
EXOSC10	'Age-related changes in gene expression, methylation or protein activity in humans'
EXOSC2	'Age-related changes in gene expression, methylation or protein activity in humans'
EXOSC8	'Age-related changes in gene expression, methylation or protein activity in humans'
EYA1	'Age-related changes in gene expression, methylation or protein activity in humans'
EZH2	'Regulation of genes associated with aging'
EZH2	'Age-related changes in gene expression, methylation or protein activity'
EZH2	'Changes in gene activity extend non-mammalian lifespan'
F13A1	'Age-related changes in gene expression, methylation or protein activity in humans'
FAAH	'Age-related changes in gene expression, methylation or protein activity in humans'
FABP3	'Age-related changes in gene expression, methylation or protein activity in humans'
FADS1	'Association of genetic variants and gene expression levels with longevity'
FADS1	'Age-related changes in gene expression, methylation or protein activity in humans'
FAM107A	'Age-related changes in gene expression, methylation or protein activity in humans'
FAM13A	'Association of genetic variants and gene expression levels with longevity'
FAM162A	'Age-related changes in gene expression, methylation or protein activity in humans'
FAM210A	'Age-related changes in gene expression, methylation or protein activity in humans'
FANCC	'Age-related changes in gene expression, methylation or protein activity in humans'
FANCG	'Age-related changes in gene expression, methylation or protein activity in humans'
FANCL	'Age-related changes in gene expression, methylation or protein activity in humans'
FAS	'Age-related changes in gene expression, methylation or protein activity in humans'
FASTK	'Age-related changes in gene expression, methylation or protein activity in humans'
FAXDC2	'Age-related changes in gene expression, methylation or protein activity in humans'
FBLN1	'Age-related changes in gene expression, methylation or protein activity in humans'
FBLN5	'Age-related changes in gene expression, methylation or protein activity in humans'
FBN1	'Regulation of genes associated with aging'
FBN1	'Changes in gene activity reduce mammalian lifespan'
FBN1	'Changes in gene activity enhance age-related deterioration'
FBN1	'Age-related changes in gene expression, methylation or protein activity'
FBN2	'Age-related changes in gene expression, methylation or protein activity'
FBXL4	'Age-related changes in gene expression, methylation or protein activity in humans'
FBXO21	'Age-related changes in gene expression, methylation or protein activity in humans'
FBXO22	'Age-related changes in gene expression, methylation or protein activity in humans'
FBXW11	'Age-related changes in gene expression, methylation or protein activity in humans'
FCER1A	'Age-related changes in gene expression, methylation or protein activity in humans'
FCER1G	'Age-related changes in gene expression, methylation or protein activity in humans'
FCGBP	'Age-related changes in gene expression, methylation or protein activity in humans'
FCGR1A	'Age-related changes in gene expression, methylation or protein activity in humans'
FCGR2A	'Age-related changes in gene expression, methylation or protein activity in humans'
FCGR3B	'Age-related changes in gene expression, methylation or protein activity in humans'
FCGRT	'Age-related changes in gene expression, methylation or protein activity in humans'
FCMR	'Age-related changes in gene expression, methylation or protein activity in humans'
FDXR	'Age-related changes in gene expression, methylation or protein activity in humans'
FEN1	'Changes in gene activity reduce non-mammalian lifespan'
FEN1	'Association of genetic variants and gene expression levels with longevity'
FEN1	'Age-related changes in gene expression, methylation or protein activity in humans'
FERMT2	'Age-related changes in gene expression, methylation or protein activity in humans'
FES	'Age-related changes in gene expression, methylation or protein activity'
FEZ1	'Age-related changes in gene expression, methylation or protein activity in humans'
FEZ2	'Age-related changes in gene expression, methylation or protein activity in humans'
FGF1	'Age-related changes in gene expression, methylation or protein activity in humans'
FGF12	'Age-related changes in gene expression, methylation or protein activity in humans'
FGF13	'Age-related changes in gene expression, methylation or protein activity in humans'
FGF2	'Age-related changes in gene expression, methylation or protein activity in humans'
FGF21	'Changes in gene activity extend mammalian lifespan'
FGF21	'Age-related changes in gene expression, methylation or protein activity'
FGF21	'Changes in gene activity protect against age-related impairment'
FGF23	'Age-related changes in gene expression, methylation or protein activity'
FGF23	'Regulation of genes associated with aging'
FGF23	'Changes in gene activity enhance age-related deterioration'
FGFR1	'Changes in gene activity enhance age-related deterioration'
FGFR1	'Age-related changes in gene expression, methylation or protein activity in humans'
FGFR2	'Age-related changes in gene expression, methylation or protein activity in humans'
FGFR3	'Age-related changes in gene expression, methylation or protein activity in humans'
FH	'Age-related changes in gene expression, methylation or protein activity in humans'
FHOD1	'Age-related changes in gene expression, methylation or protein activity in humans'
FJX1	'Age-related changes in gene expression, methylation or protein activity in humans'
FKBP14	'Age-related changes in gene expression, methylation or protein activity in humans'
FKBP1A	'Age-related changes in gene expression, methylation or protein activity in humans'
FKBP5	'Age-related changes in gene expression, methylation or protein activity in humans'
FLI1	'Age-related changes in gene expression, methylation or protein activity in humans'
FLJ22555	'Age-related changes in gene expression, methylation or protein activity in humans'
FLNA	'Age-related changes in gene expression, methylation or protein activity in humans'
FLNB	'Age-related changes in gene expression, methylation or protein activity in humans'
FLOT1	'Age-related changes in gene expression, methylation or protein activity in humans'
FLOT2	'Age-related changes in gene expression, methylation or protein activity in humans'
FLRT3	'Age-related changes in gene expression, methylation or protein activity in humans'
FLT1	'Age-related changes in gene expression, methylation or protein activity'
FLT1	'Age-related changes in gene expression, methylation or protein activity in humans'
FLT1	'Regulation of genes associated with aging'
FLT1	'Changes in gene activity enhance age-related deterioration'
FLT1	'Association of genetic variants and gene expression levels with longevity'
FLT3LG	'Age-related changes in gene expression, methylation or protein activity in humans'
FLVCR2	'Age-related changes in gene expression, methylation or protein activity in humans'
FN1	'Changes in gene activity reduce mammalian lifespan'
FN1	'Changes in gene activity enhance age-related deterioration'
FN3KRP	'Association of genetic variants and gene expression levels with longevity'
FNTA	'Age-related changes in gene expression, methylation or protein activity in humans'
FOLH1	'Age-related changes in gene expression, methylation or protein activity'
FOLH1	'Age-related changes in gene expression, methylation or protein activity in humans'
FOLH1B	'Age-related changes in gene expression, methylation or protein activity in humans'
FOLR1	'Age-related changes in gene expression, methylation or protein activity'
FOLR2	'Age-related changes in gene expression, methylation or protein activity in humans'
FOLR2	'Regulation of genes associated with aging'
FOS	'Age-related changes in gene expression, methylation or protein activity'
FOS	'Changes in gene activity reduce non-mammalian lifespan'
FOS	'Changes in gene activity enhance age-related deterioration'
FOSL2	'Age-related changes in gene expression, methylation or protein activity in humans'
FOXC1	'Age-related changes in gene expression, methylation or protein activity in humans'
FOXG1	'Age-related changes in gene expression, methylation or protein activity in humans'
FOXJ3	'Age-related changes in gene expression, methylation or protein activity in humans'
FOXM1	'Age-related changes in gene expression, methylation or protein activity'
FOXM1	'Age-related changes in gene expression, methylation or protein activity in humans'
FOXM1	'Regulation of genes associated with aging'
FOXM1	'Changes in gene activity protect against age-related impairment'
FOXM1	'Changes in gene activity enhance age-related deterioration'
FOXN3	'Age-related changes in gene expression, methylation or protein activity in humans'
FOXO1	'Association of genetic variants and gene expression levels with longevity'
FOXO1	'Age-related changes in gene expression, methylation or protein activity'
FOXO1	'Regulation of genes associated with aging'
FOXO1	'Age-related changes in gene expression, methylation or protein activity in humans'
FOXO1	'Changes in gene activity extend non-mammalian lifespan'
FOXO1	'Changes in gene activity reduce non-mammalian lifespan'
FOXO3	'Association of genetic variants and gene expression levels with longevity'
FOXO3	'Changes in gene activity extend non-mammalian lifespan'
FOXO3	'Age-related changes in gene expression, methylation or protein activity in humans'
FOXO3	'Changes in gene activity protect against age-related impairment'
FOXO3	'Changes in gene activity reduce non-mammalian lifespan'
FOXO3	'Regulation of genes associated with aging'
FOXO4	'Changes in gene activity extend non-mammalian lifespan'
FOXO4	'Age-related changes in gene expression, methylation or protein activity in non-mammals'
FOXO4	'Changes in gene activity protect against age-related impairment'
FOXO4	'Changes in gene activity reduce non-mammalian lifespan'
FPGT-TNNI3K	'Association of genetic variants and gene expression levels with longevity'
FRK	'Association of genetic variants and gene expression levels with longevity'
FRMPD4	'Age-related changes in gene expression, methylation or protein activity in humans'
FRY	'Age-related changes in gene expression, methylation or protein activity in humans'
FRZB	'Age-related changes in gene expression, methylation or protein activity in humans'
FSHR	'Association of genetic variants and gene expression levels with longevity'
FST	'Changes in gene activity extend mammalian lifespan'
FST	'Changes in gene activity protect against age-related impairment'
FST	'Age-related changes in gene expression, methylation or protein activity in humans'
FSTL5	'Association of genetic variants and gene expression levels with longevity'
FTH1P5	'Association of genetic variants and gene expression levels with longevity'
FTL	'Age-related changes in gene expression, methylation or protein activity in humans'
FUBP3	'Age-related changes in gene expression, methylation or protein activity in humans'
FUNDC2	'Age-related changes in gene expression, methylation or protein activity in humans'
FURIN	'Association of genetic variants and gene expression levels with longevity'
FUS	'Age-related changes in gene expression, methylation or protein activity in humans'
FUT6	'Age-related changes in gene expression, methylation or protein activity in humans'
FXN	'Changes in gene activity reduce mammalian lifespan'
FXN	'Changes in gene activity enhance age-related deterioration'
FXN	'Changes in gene activity extend non-mammalian lifespan'
FXN	'Age-related changes in gene expression, methylation or protein activity in humans'
FXR1	'Age-related changes in gene expression, methylation or protein activity in humans'
FXYD5	'Age-related changes in gene expression, methylation or protein activity in humans'
FYN	'Age-related changes in gene expression, methylation or protein activity in humans'
FZD2	'Age-related changes in gene expression, methylation or protein activity'
FZD3	'Age-related changes in gene expression, methylation or protein activity'
FZD7	'Age-related changes in gene expression, methylation or protein activity in humans'
FZD8	'Age-related changes in gene expression, methylation or protein activity'
FZR1	'Age-related changes in gene expression, methylation or protein activity in humans'
G3BP1	'Age-related changes in gene expression, methylation or protein activity in humans'
G3BP2	'Age-related changes in gene expression, methylation or protein activity in humans'
G6PD	'Changes in gene activity extend mammalian lifespan'
G6PD	'Changes in gene activity protect against age-related impairment'
G6PD	'Age-related changes in gene expression, methylation or protein activity in humans'
G6PD	'Changes in gene activity reduce mammalian lifespan'
GABPA	'Age-related changes in gene expression, methylation or protein activity in humans'
GABRB3	'Age-related changes in gene expression, methylation or protein activity in humans'
GABRD	'Age-related changes in gene expression, methylation or protein activity in humans'
GAD1	'Age-related changes in gene expression, methylation or protein activity in humans'
GADD45A	'Age-related changes in gene expression, methylation or protein activity in humans'
GADD45G	'Age-related changes in gene expression, methylation or protein activity in humans'
GAL3ST4	'Age-related changes in gene expression, methylation or protein activity in humans'
GALK2	'Age-related changes in gene expression, methylation or protein activity in humans'
GALNT7	'Age-related changes in gene expression, methylation or protein activity in humans'
GAPVD1	'Age-related changes in gene expression, methylation or protein activity in humans'
GART	'Age-related changes in gene expression, methylation or protein activity in humans'
GATAD1	'Age-related changes in gene expression, methylation or protein activity in humans'
GATM	'Age-related changes in gene expression, methylation or protein activity in humans'
GCLC	'Changes in gene activity extend non-mammalian lifespan'
GCLC	'Age-related changes in gene expression, methylation or protein activity'
GCLC	'Changes in gene activity enhance age-related deterioration'
GCLC	'Age-related changes in gene expression, methylation or protein activity in humans'
GCLC	'Changes in gene activity protect against age-related impairment'
GCLC	'Changes in gene activity reduce non-mammalian lifespan'
GCLM	'Changes in gene activity extend non-mammalian lifespan'
GCLM	'Age-related changes in gene expression, methylation or protein activity'
GCLM	'Age-related changes in gene expression, methylation or protein activity in humans'
GCLM	'Changes in gene activity enhance age-related deterioration'
GCN1	'Age-related changes in gene expression, methylation or protein activity in humans'
GDA	'Age-related changes in gene expression, methylation or protein activity in humans'
GDE1	'Age-related changes in gene expression, methylation or protein activity in humans'
GDF1	'Association of genetic variants and gene expression levels with longevity'
GDF11	'Age-related changes in gene expression, methylation or protein activity'
GDF11	'Age-related changes in gene expression, methylation or protein activity in humans'
GDF11	'Regulation of genes associated with aging'
GDF11	'Changes in gene activity protect against age-related impairment'
GDF11	'Changes in gene activity enhance age-related deterioration'
GDF11	'Changes in gene activity extend non-mammalian lifespan'
GDF11	'Age-related changes in gene expression, methylation or protein activity in non-mammals'
GDF11	'Changes in gene activity reduce non-mammalian lifespan'
GDF15	'Changes in gene activity extend mammalian lifespan'
GDF15	'Changes in gene activity protect against age-related impairment'
GDI2	'Age-related changes in gene expression, methylation or protein activity in humans'
GET4	'Age-related changes in gene expression, methylation or protein activity in humans'
GFAP	'Age-related changes in gene expression, methylation or protein activity in humans'
GFPT1	'Age-related changes in gene expression, methylation or protein activity in humans'
GFRA2	'Age-related changes in gene expression, methylation or protein activity in humans'
GGA2	'Age-related changes in gene expression, methylation or protein activity in humans'
GGA3	'Age-related changes in gene expression, methylation or protein activity in humans'
GGH	'Age-related changes in gene expression, methylation or protein activity in humans'
GGT1	'Age-related changes in gene expression, methylation or protein activity in humans'
GGT7	'Age-related changes in gene expression, methylation or protein activity in humans'
GH1	'Changes in gene activity extend mammalian lifespan'
GH1	'Age-related changes in gene expression, methylation or protein activity'
GH1	'Age-related changes in gene expression, methylation or protein activity in humans'
GH1	'Regulation of genes associated with aging'
GH1	'Changes in gene activity protect against age-related impairment'
GH1	'Changes in gene activity enhance age-related deterioration'
GH1	'Changes in gene activity reduce mammalian lifespan'
GH1	'Association of genetic variants and gene expression levels with longevity'
GHR	'Changes in gene activity extend mammalian lifespan'
GHR	'Association of genetic variants and gene expression levels with longevity'
GHR	'Regulation of genes associated with aging'
GHR	'Changes in gene activity protect against age-related impairment'
GHR	'Changes in gene activity enhance age-related deterioration'
GHR	'Age-related changes in gene expression, methylation or protein activity in humans'
GHRH	'Changes in gene activity extend mammalian lifespan'
GHRH	'Age-related changes in gene expression, methylation or protein activity'
GHRH	'Age-related changes in gene expression, methylation or protein activity in humans'
GHRH	'Regulation of genes associated with aging'
GHRH	'Changes in gene activity protect against age-related impairment'
GHRH	'Changes in gene activity enhance age-related deterioration'
GHRHR	'Changes in gene activity extend mammalian lifespan'
GHRHR	'Age-related changes in gene expression, methylation or protein activity'
GHRHR	'Association of genetic variants and gene expression levels with longevity'
GHRL	'Association of genetic variants and gene expression levels with longevity'
GHSR	'Association of genetic variants and gene expression levels with longevity'
GIPC1	'Age-related changes in gene expression, methylation or protein activity in humans'
GIT2	'Age-related changes in gene expression, methylation or protein activity in humans'
GJA1	'Age-related changes in gene expression, methylation or protein activity in humans'
GLE1	'Age-related changes in gene expression, methylation or protein activity in humans'
GLG1	'Age-related changes in gene expression, methylation or protein activity in humans'
GLO1	'Changes in gene activity extend non-mammalian lifespan'
GLO1	'Age-related changes in gene expression, methylation or protein activity'
GLO1	'Age-related changes in gene expression, methylation or protein activity in non-mammals'
GLO1	'Changes in gene activity protect against age-related impairment'
GLO1	'Changes in gene activity reduce non-mammalian lifespan'
GLO1	'Changes in gene activity enhance age-related deterioration'
GLRX	'Association of genetic variants and gene expression levels with longevity'
GLRX	'Age-related changes in gene expression, methylation or protein activity in humans'
GLRX2	'Age-related changes in gene expression, methylation or protein activity in humans'
GLRX3	'Age-related changes in gene expression, methylation or protein activity in humans'
GLUD1	'Age-related changes in gene expression, methylation or protein activity in humans'
GLYR1	'Age-related changes in gene expression, methylation or protein activity in humans'
GMFB	'Changes in gene activity reduce mammalian lifespan'
GMFB	'Changes in gene activity enhance age-related deterioration'
GNA11	'Age-related changes in gene expression, methylation or protein activity in humans'
GNA12	'Age-related changes in gene expression, methylation or protein activity in humans'
GNA13	'Age-related changes in gene expression, methylation or protein activity in humans'
GNAQ	'Age-related changes in gene expression, methylation or protein activity in humans'
GNB5	'Age-related changes in gene expression, methylation or protein activity in humans'
GNE	'Age-related changes in gene expression, methylation or protein activity in humans'
GNG11	'Age-related changes in gene expression, methylation or protein activity in humans'
GNG12	'Age-related changes in gene expression, methylation or protein activity in humans'
GNPNAT1	'Age-related changes in gene expression, methylation or protein activity in humans'
GNPTG	'Age-related changes in gene expression, methylation or protein activity in humans'
GOLGA4	'Age-related changes in gene expression, methylation or protein activity in humans'
GOLGB1	'Age-related changes in gene expression, methylation or protein activity in humans'
GORASP2	'Age-related changes in gene expression, methylation or protein activity in humans'
GOSR2	'Age-related changes in gene expression, methylation or protein activity in humans'
GOT2	'Age-related changes in gene expression, methylation or protein activity in humans'
GP5	'Age-related changes in gene expression, methylation or protein activity in humans'
GPC4	'Age-related changes in gene expression, methylation or protein activity in humans'
GPC5	'Age-related changes in gene expression, methylation or protein activity in humans'
GPCPD1	'Age-related changes in gene expression, methylation or protein activity'
GPR137B	'Age-related changes in gene expression, methylation or protein activity in humans'
GPRC5B	'Age-related changes in gene expression, methylation or protein activity in humans'
GPX1	'Age-related changes in gene expression, methylation or protein activity'
GPX1	'Age-related changes in gene expression, methylation or protein activity in humans'
GPX1	'Changes in gene activity protect against age-related impairment'
GPX1	'Changes in gene activity enhance age-related deterioration'
GPX1	'Association of genetic variants and gene expression levels with longevity'
GPX4	'Changes in gene activity extend mammalian lifespan'
GPX4	'Age-related changes in gene expression, methylation or protein activity in humans'
GPX4	'Changes in gene activity protect against age-related impairment'
GPX4	'Changes in gene activity enhance age-related deterioration'
GRAMD2B	'Age-related changes in gene expression, methylation or protein activity in humans'
GRAP2	'Age-related changes in gene expression, methylation or protein activity in humans'
GRHPR	'Age-related changes in gene expression, methylation or protein activity in humans'
GRIA1	'Age-related changes in gene expression, methylation or protein activity in humans'
GRIK2	'Association of genetic variants and gene expression levels with longevity'
GRIN2A	'Age-related changes in gene expression, methylation or protein activity in humans'
GRK2	'Age-related changes in gene expression, methylation or protein activity in humans'
GRK5	'Age-related changes in gene expression, methylation or protein activity in humans'
GRN	'Changes in gene activity reduce mammalian lifespan'
GRN	'Changes in gene activity enhance age-related deterioration'
GRN	'Changes in gene activity extend mammalian lifespan'
GRN	'Association of genetic variants and gene expression levels with longevity'
GRN	'Age-related changes in gene expression, methylation or protein activity in humans'
GRSF1	'Regulation of genes associated with aging'
GRSF1	'Age-related changes in gene expression, methylation or protein activity'
GRSF1	'Changes in gene activity enhance age-related deterioration'
GRSF1	'Age-related changes in gene expression, methylation or protein activity in humans'
GSK3A	'Changes in gene activity extend non-mammalian lifespan'
GSK3A	'Regulation of genes associated with aging'
GSK3A	'Changes in gene activity enhance age-related deterioration'
GSK3A	'Changes in gene activity reduce mammalian lifespan'
GSK3A	'Changes in gene activity protect against age-related impairment'
GSK3A	'Changes in gene activity reduce non-mammalian lifespan'
GSK3B	'Changes in gene activity extend non-mammalian lifespan'
GSK3B	'Age-related changes in gene expression, methylation or protein activity'
GSK3B	'Regulation of genes associated with aging'
GSK3B	'Age-related changes in gene expression, methylation or protein activity in non-mammals'
GSK3B	'Changes in gene activity reduce non-mammalian lifespan'
GSK3B	'Changes in gene activity enhance age-related deterioration'
GSK3B	'Changes in gene activity protect against age-related impairment'
GSN	'Age-related changes in gene expression, methylation or protein activity in humans'
GSPT1	'Age-related changes in gene expression, methylation or protein activity in humans'
GSR	'Changes in gene activity extend non-mammalian lifespan'
GSR	'Age-related changes in gene expression, methylation or protein activity'
GSR	'Age-related changes in gene expression, methylation or protein activity in humans'
GSR	'Age-related changes in gene expression, methylation or protein activity in non-mammals'
GSR	'Association of genetic variants and gene expression levels with longevity'
GSR	'Changes in gene activity reduce non-mammalian lifespan'
GSS	'Age-related changes in gene expression, methylation or protein activity'
GSS	'Age-related changes in gene expression, methylation or protein activity in non-mammals'
GSS	'Association of genetic variants and gene expression levels with longevity'
GSTA4	'Changes in gene activity extend non-mammalian lifespan'
GSTA4	'Changes in gene activity extend mammalian lifespan'
GSTA4	'Age-related changes in gene expression, methylation or protein activity'
GSTA4	'Changes in gene activity protect against age-related impairment'
GSTP1	'Age-related changes in gene expression, methylation or protein activity'
GSTP1	'Age-related changes in gene expression, methylation or protein activity in humans'
GSTP1	'Changes in gene activity extend non-mammalian lifespan'
GSTP1	'Changes in gene activity reduce non-mammalian lifespan'
GSTZ1	'Association of genetic variants and gene expression levels with longevity'
GUSBP1	'Age-related changes in gene expression, methylation or protein activity in humans'
GYG1	'Age-related changes in gene expression, methylation or protein activity in humans'
GYPC	'Age-related changes in gene expression, methylation or protein activity in humans'
H1-10	'Age-related changes in gene expression, methylation or protein activity in humans'
H2AC6	'Age-related changes in gene expression, methylation or protein activity in humans'
H3-3B	'Age-related changes in gene expression, methylation or protein activity in humans'
H4C3	'Age-related changes in gene expression, methylation or protein activity in humans'
HABP4	'Age-related changes in gene expression, methylation or protein activity in humans'
HADHA	'Age-related changes in gene expression, methylation or protein activity in humans'
HAUS7	'Age-related changes in gene expression, methylation or protein activity in humans'
HBA1	'Age-related changes in gene expression, methylation or protein activity in humans'
HBA2	'Age-related changes in gene expression, methylation or protein activity in humans'
HBB	'Age-related changes in gene expression, methylation or protein activity'
HBB	'Age-related changes in gene expression, methylation or protein activity in humans'
HBP1	'Age-related changes in gene expression, methylation or protein activity'
HBP1	'Age-related changes in gene expression, methylation or protein activity in humans'
HBP1	'Regulation of genes associated with aging'
HBP1	'Changes in gene activity protect against age-related impairment'
HCCS	'Age-related changes in gene expression, methylation or protein activity in humans'
HCRTR2	'Age-related changes in gene expression, methylation or protein activity in humans'
HDAC1	'Changes in gene activity extend non-mammalian lifespan'
HDAC1	'Age-related changes in gene expression, methylation or protein activity'
HDAC1	'Age-related changes in gene expression, methylation or protein activity in humans'
HDAC1	'Regulation of genes associated with aging'
HDAC1	'Age-related changes in gene expression, methylation or protein activity in non-mammals'
HDAC1	'Changes in gene activity protect against age-related impairment'
HDAC1	'Changes in gene activity reduce non-mammalian lifespan'
HDAC1	'Changes in gene activity enhance age-related deterioration'
HDAC2	'Age-related changes in gene expression, methylation or protein activity'
HDAC2	'Age-related changes in gene expression, methylation or protein activity in humans'
HDAC2	'Regulation of genes associated with aging'
HDAC2	'Changes in gene activity enhance age-related deterioration'
HDAC2	'Changes in gene activity extend non-mammalian lifespan'
HDAC2	'Changes in gene activity protect against age-related impairment'
HDAC2	'Changes in gene activity reduce non-mammalian lifespan'
HDAC3	'Age-related changes in gene expression, methylation or protein activity'
HDAC3	'Regulation of genes associated with aging'
HDAC3	'Age-related changes in gene expression, methylation or protein activity in non-mammals'
HDAC3	'Changes in gene activity protect against age-related impairment'
HDAC4	'Association of genetic variants and gene expression levels with longevity'
HDAC4	'Age-related changes in gene expression, methylation or protein activity in humans'
HDAC5	'Age-related changes in gene expression, methylation or protein activity in humans'
HDAC9	'Age-related changes in gene expression, methylation or protein activity in humans'
HEBP2	'Age-related changes in gene expression, methylation or protein activity in humans'
HELLS	'Age-related changes in gene expression, methylation or protein activity'
HELLS	'Regulation of genes associated with aging'
HELLS	'Changes in gene activity enhance age-related deterioration'
HELLS	'Changes in gene activity reduce mammalian lifespan'
HEPH	'Age-related changes in gene expression, methylation or protein activity in humans'
HERC1	'Age-related changes in gene expression, methylation or protein activity in humans'
HERC2P2	'Age-related changes in gene expression, methylation or protein activity in humans'
HERC3	'Age-related changes in gene expression, methylation or protein activity in humans'
HERC4	'Age-related changes in gene expression, methylation or protein activity in humans'
HERC6	'Age-related changes in gene expression, methylation or protein activity in humans'
HGH1	'Age-related changes in gene expression, methylation or protein activity in humans'
HGS	'Age-related changes in gene expression, methylation or protein activity in humans'
HIBADH	'Age-related changes in gene expression, methylation or protein activity in humans'
HIBCH	'Age-related changes in gene expression, methylation or protein activity in humans'
HIC1	'Regulation of genes associated with aging'
HIC1	'Changes in gene activity enhance age-related deterioration'
HIF1A	'Changes in gene activity extend non-mammalian lifespan'
HIF1A	'Age-related changes in gene expression, methylation or protein activity'
HIF1A	'Regulation of genes associated with aging'
HIF1A	'Changes in gene activity protect against age-related impairment'
HIF1A	'Age-related changes in gene expression, methylation or protein activity in humans'
HILPDA	'Age-related changes in gene expression, methylation or protein activity in humans'
HINFP	'Age-related changes in gene expression, methylation or protein activity in humans'
HIPK3	'Age-related changes in gene expression, methylation or protein activity in humans'
HLA-B	'Age-related changes in gene expression, methylation or protein activity in humans'
HLA-C	'Age-related changes in gene expression, methylation or protein activity in humans'
HLA-DMA	'Age-related changes in gene expression, methylation or protein activity in humans'
HLA-DMB	'Age-related changes in gene expression, methylation or protein activity in humans'
HLA-DOA	'Age-related changes in gene expression, methylation or protein activity in humans'
HLA-DPA1	'Age-related changes in gene expression, methylation or protein activity in humans'
HLA-DPB1	'Age-related changes in gene expression, methylation or protein activity in humans'
HLA-DQA1	'Association of genetic variants and gene expression levels with longevity'
HLA-DQA1	'Age-related changes in gene expression, methylation or protein activity in humans'
HLA-DQB1	'Association of genetic variants and gene expression levels with longevity'
HLA-DQB1	'Age-related changes in gene expression, methylation or protein activity in humans'
HLA-DRA	'Association of genetic variants and gene expression levels with longevity'
HLA-DRA	'Age-related changes in gene expression, methylation or protein activity in humans'
HLA-DRB1	'Association of genetic variants and gene expression levels with longevity'
HLA-DRB1	'Age-related changes in gene expression, methylation or protein activity in humans'
HLA-DRB3	'Age-related changes in gene expression, methylation or protein activity in humans'
HLA-DRB4	'Age-related changes in gene expression, methylation or protein activity in humans'
HLA-DRB5	'Age-related changes in gene expression, methylation or protein activity in humans'
HLA-DRB6	'Age-related changes in gene expression, methylation or protein activity in humans'
HLA-E	'Age-related changes in gene expression, methylation or protein activity in humans'
HLA-F	'Age-related changes in gene expression, methylation or protein activity in humans'
HLA-G	'Age-related changes in gene expression, methylation or protein activity in humans'
HMBS	'Age-related changes in gene expression, methylation or protein activity in humans'
HMGB1	'Age-related changes in gene expression, methylation or protein activity'
HMGB1	'Age-related changes in gene expression, methylation or protein activity in humans'
HMGB2	'Age-related changes in gene expression, methylation or protein activity'
HMGB2	'Changes in gene activity enhance age-related deterioration'
HMGB2	'Age-related changes in gene expression, methylation or protein activity in humans'
HMGN2	'Age-related changes in gene expression, methylation or protein activity in humans'
HMGXB4	'Age-related changes in gene expression, methylation or protein activity in humans'
HMOX2	'Age-related changes in gene expression, methylation or protein activity in humans'
HNF4A	'Association of genetic variants and gene expression levels with longevity'
HNF4G	'Association of genetic variants and gene expression levels with longevity'
HNRNPA1	'Age-related changes in gene expression, methylation or protein activity in humans'
HNRNPAB	'Age-related changes in gene expression, methylation or protein activity in humans'
HNRNPC	'Age-related changes in gene expression, methylation or protein activity in humans'
HNRNPD	'Changes in gene activity reduce mammalian lifespan'
HNRNPD	'Changes in gene activity enhance age-related deterioration'
HNRNPD	'Age-related changes in gene expression, methylation or protein activity in humans'
HNRNPH2	'Age-related changes in gene expression, methylation or protein activity in humans'
HNRNPH3	'Age-related changes in gene expression, methylation or protein activity in humans'
HNRNPK	'Age-related changes in gene expression, methylation or protein activity in humans'
HNRNPL	'Age-related changes in gene expression, methylation or protein activity in humans'
HNRNPM	'Age-related changes in gene expression, methylation or protein activity in humans'
HNRNPR	'Age-related changes in gene expression, methylation or protein activity in humans'
HNRNPU	'Age-related changes in gene expression, methylation or protein activity in humans'
HOPX	'Age-related changes in gene expression, methylation or protein activity in humans'
HOXB2	'Age-related changes in gene expression, methylation or protein activity in humans'
HOXB7	'Age-related changes in gene expression, methylation or protein activity'
HOXB7	'Age-related changes in gene expression, methylation or protein activity in humans'
HOXC4	'Age-related changes in gene expression, methylation or protein activity in humans'
HP	'Association of genetic variants and gene expression levels with longevity'
HP	'Age-related changes in gene expression, methylation or protein activity in humans'
HPCAL1	'Association of genetic variants and gene expression levels with longevity'
HPGD	'Age-related changes in gene expression, methylation or protein activity'
HPGD	'Changes in gene activity protect against age-related impairment'
HPGD	'Age-related changes in gene expression, methylation or protein activity in humans'
HPN	'Age-related changes in gene expression, methylation or protein activity in humans'
HPRT1	'Age-related changes in gene expression, methylation or protein activity in humans'
HRAS	'Changes in gene activity protect against age-related impairment'
HRAS	'Changes in gene activity enhance age-related deterioration'
HRAS	'Changes in gene activity reduce non-mammalian lifespan'
