HGNC	model organism	sex	line	effect on lifespan	lifespan % change - mean	lifespan % change - median	lifespan % change - max	intervention deteriorates	intervention improves	main effect on lifespan	intervention method	tissue	doi	pmid
IL2	mouse	not specified	C57BL/6	decreases lifespan	n/a	n/a	n/a			loss of function	gene knockout		10.4049/jimmunol.179.12.8035	n/a
FOS	roundworm Caenorhabditis elegans	not specified	N2	decreases life span in animals with increased lifespans	-11	n/a	n/a			loss of function	RNA interferention		10.1016/j.celrep.2012.12.018	n/a
FOS	roundworm Caenorhabditis elegans	not specified	N2	decreases lifespan	-2.2	n/a	n/a			loss of function	RNA interferention		10.1016/j.celrep.2012.12.018	n/a
PPARA	mouse	male	n/a	decreases lifespan	n/a	-10	n/a	cardiovascular system,lipid metabolism,renal function,liver		loss of function	gene knockout		10.1080/01926230490515283	n/a
PEX5	roundworm Caenorhabditis elegans	hermaphrodites	N2	increases lifespan	41	53	n/a			loss of function	RNA interferention		10.1371/journal.pgen.0030056	17411345
TCF3	roundworm Caenorhabditis elegans	hermaphrodites	N2	increases lifespan	30.2	55.3	43.9	reproductive function		loss of function	RNA interferention		10.1016/j.redox.2020.101448	n/a
TCF3	roundworm Caenorhabditis elegans	hermaphrodites	N2	increases lifespan	33.4	n/a	n/a			loss of function	RNA interferention		10.1016/j.redox.2020.101448	n/a
TCF3	roundworm Caenorhabditis elegans	hermaphrodites	N2	increases lifespan	48.7	n/a	n/a			loss of function	RNA interferention		10.1016/j.redox.2020.101448	n/a
TCF3	roundworm Caenorhabditis elegans	hermaphrodites	N2	increases lifespan	31.8	n/a	n/a			loss of function	RNA interferention		10.1016/j.redox.2020.101448	n/a
TCF3	roundworm Caenorhabditis elegans	hermaphrodites	N2	increases lifespan	23.9	n/a	n/a			loss of function	RNA interferention		10.1016/j.redox.2020.101448	n/a
TCF3	roundworm Caenorhabditis elegans	hermaphrodites	CL802	increases lifespan	12.4	14.4	6.3			loss of function	RNA interferention		10.1016/j.redox.2020.101448	n/a
TCF3	roundworm Caenorhabditis elegans	hermaphrodites	CL4176	increases lifespan	2.5	-1.4	7.4			loss of function	RNA interferention		10.1016/j.redox.2020.101448	n/a
TCF3	roundworm Caenorhabditis elegans	hermaphrodites	N2	increases lifespan	19.3	21.2	16.9			loss of function	RNA interferention		10.1016/j.redox.2020.101448	n/a
TCF3	roundworm Caenorhabditis elegans	hermaphrodites	N2	increases lifespan	28.6	28.9	30.4			loss of function	RNA interferention		10.1016/j.redox.2020.101448	n/a
TCF3	roundworm Caenorhabditis elegans	hermaphrodites	N2	increases lifespan	12.7	14.6	19.7			loss of function	RNA interferention		10.1016/j.redox.2020.101448	n/a
TCF3	roundworm Caenorhabditis elegans	hermaphrodites	N2	increases lifespan	19.8	11.9	26.1			loss of function	RNA interferention		10.1016/j.redox.2020.101448	n/a
PARP1	mouse	female	129/Sv	decreases lifespan	-13.3	-10.8	-15.5	muscle,body composition,carcinogenesis,cognitive function,reproductive function		loss of function	gene knockout		10.1155/2008/754190	n/a
PARP1	mouse	not specified	C57BL/6 x 129/OlaHsd	decreases lifespan	-10.2	n/a	-4.1	cardiovascular system,blood,DNA metabolism,lipid metabolism,inflammation,skin,hair/coat		gain of function	additional copies of a gene in the genome		10.1016/j.mad.2010.05.005	n/a
PARP1	mouse	not specified	C57BL/6 x 129/OlaHsd	decreases lifespan	n/a	-15.1	-7.6	cardiovascular system,skin,blood,DNA metabolism,lipid metabolism,inflammation,hair/coat		gain of function	additional copies of a gene in the genome		10.1016/j.mad.2010.05.005	n/a
BRCA1	mouse	female	C57BL/6J	decreases lifespan	-7.6	-9.6	3.9	carcinogenesis		loss of function	gene knockout		10.1038/sj.onc.1210451	n/a
BRCA1	mouse	female	C57BL/6	decreases survival under stress conditions	n/a	-8.4	-1.7	carcinogenesis		loss of function	gene knockout		10.1038/sj.onc.1210451	n/a
PTEN	mouse	male	C57BL/6 × CBA	increases lifespan	18	11	22		DNA metabolism,carcinogenesis,insulin sensitivity,lipid metabolism,metabolism,body composition,INS/IGFR pathway	gain of function	additional copies of a gene in the genome		10.1016/j.cmet.2012.02.001	n/a
PTEN	mouse	female	C57BL/6 × CBA	increases lifespan	11	18	8		DNA metabolism,insulin sensitivity,lipid metabolism,metabolism,body composition,carcinogenesis,INS/IGFR pathway	gain of function	additional copies of a gene in the genome		10.1016/j.cmet.2012.02.001	n/a
PTEN	roundworm Caenorhabditis elegans	not specified	N2	decreases life span in animals with increased lifespans	-39	n/a	-37			loss of function	gene knockout		10.1038/s41467-020-18280-4	n/a
PTEN	mouse	not specified	C57BL/6	decreases lifespan	n/a	-92	-54	nervous system,carcinogenesis,cognitive function	hair/coat,stem and progenitor cells	loss of function	gene knockout	melanocytes,Trp2 expressing neurons	10.1158/0008-5472.can-08-0889	n/a
PTEN	roundworm Caenorhabditis elegans	not specified	N2	decreases lifespan	n/a	-49	-44			loss of function	gene knockout		10.1016/j.neuron.2013.11.019	n/a
PTEN	roundworm Caenorhabditis elegans	not specified	N2	decreases lifespan	-19	-23	-28			loss of function	gene knockout		10.1074/jbc.M110.104612	n/a
PTEN	mouse	not specified	C57BL/6	decreases lifespan	n/a	-13	-6.4	nervous system,carcinogenesis,cognitive function	hair/coat,stem and progenitor cells	loss of function	gene knockout	melanocytes,Trp2 expressing neurons	10.1158/0008-5472.can-08-0889	n/a
PTEN	roundworm Caenorhabditis elegans	not specified	N2	decreases lifespan	-34	-38	-44			loss of function	gene knockout		10.1074/jbc.M110.104612	n/a
PTEN	fly Drosophila melanogaster	male	n/a	increases lifespan	n/a	20	16		muscle	gain of function	additional copies of a gene in the genome	muscle	10.1016/j.cell.2010.10.007	21111239
CREBBP	roundworm Caenorhabditis elegans	hermaphrodites	N2	decreases lifespan	-34.5	-28.6	-37.5			loss of function	RNA interferention		10.1371/journal.pbio.1000245	n/a
CREBBP	roundworm Caenorhabditis elegans	hermaphrodites	N2	decreases life span in animals with increased lifespans	-48.8	-54	-51.2			loss of function	RNA interferention		10.1371/journal.pbio.1000245	n/a
CREBBP	roundworm Caenorhabditis elegans	hermaphrodites	N2	decreases lifespan	n/a	-25.9	-49.4			loss of function	RNA interferention		10.1038/s43587-020-00025-z	n/a
CREBBP	acyrthosiphon pisum	all	n/a	decreases lifespan	20	n/a	n/a			loss of function	RNA interferention		10.3390/insects11050265	n/a
CREBBP	acyrthosiphon pisum	all	n/a	decreases lifespan	26	n/a	n/a			loss of function	RNA interferention		10.3390/insects11050265	n/a
CREBBP	roundworm Caenorhabditis elegans	hermaphrodites	N2	decreases life span in animals with increased lifespans	n/a	-59.4	-69.2			loss of function	RNA interferention		10.1093/gerona/glx206	n/a
CREBBP	roundworm Caenorhabditis elegans	hermaphrodites	N2	decreases life span in animals with increased lifespans	n/a	-61.3	-61.7			loss of function	RNA interferention	neurons	10.1093/gerona/glx206	n/a
CREBBP	roundworm Caenorhabditis elegans	hermaphrodites	N2	decreases lifespan	-31.1	n/a	n/a			loss of function	RNA interferention		10.1371/journal.pbio.1000245	n/a
CREBBP	roundworm Caenorhabditis elegans	hermaphrodites	N2	decreases lifespan	-18	n/a	n/a			loss of function	RNA interferention		10.1371/journal.pbio.1000245	n/a
CREBBP	roundworm Caenorhabditis elegans	hermaphrodites	N2	decreases lifespan	n/a	-21.7	-26.3			loss of function	RNA interferention		10.1038/s43587-020-00025-z	n/a
HIF1A	roundworm Caenorhabditis elegans	hermaphrodites	N2	increases lifespan	15	20	7.7		stress responce	gain of function	additional copies of a gene in the genome		10.1371/journal.pone.0006348	n/a
HIF1A	roundworm Caenorhabditis elegans	hermaphrodites	N2	increases lifespan	23.5	23.5	12.9			loss of function	gene knockout		10.1111/j.1474-9726.2011.00672.x	n/a
HIF1A	roundworm Caenorhabditis elegans	hermaphrodites	N2	increases lifespan	30	40	23.1			gain of function	gene modification		10.1371/journal.pone.0006348	n/a
HIF1A	roundworm Caenorhabditis elegans	hermaphrodites	N2	increases lifespan	20	20	29.2		stress responce	loss of function	gene knockout		10.1371/journal.pone.0006348	n/a
HIF1A	roundworm Caenorhabditis elegans	hermaphrodites	N2	decreases lifespan	-2	-10.7	n/a			loss of function	gene knockout		10.1111/j.1474-9726.2011.00672.x	n/a
HIF1A	roundworm Caenorhabditis elegans	hermaphrodites	N2	increases lifespan	3.6	9.1	n/a			loss of function	gene knockout		10.1111/j.1474-9726.2011.00672.x	n/a
HIF1A	roundworm Caenorhabditis elegans	hermaphrodites	N2	increases lifespan	23.9	44.5	29.9			loss of function	gene modification		10.1371/journal.pgen.1000486	n/a
HIF1A	roundworm Caenorhabditis elegans	hermaphrodites	N2	increases lifespan	18.4	24.4	20.2			loss of function	RNA interferention		10.1371/journal.pgen.1000486	n/a
HIF1A	roundworm Caenorhabditis elegans	hermaphrodites	N2	increases lifespan	13.2	n/a	n/a			loss of function	gene modification		10.1371/journal.pgen.1000486	n/a
HIF1A	roundworm Caenorhabditis elegans	hermaphrodites	N2	increases lifespan	16.4	n/a	n/a			loss of function	RNA interferention		10.1371/journal.pgen.1000486	n/a
HIF1A	roundworm Caenorhabditis elegans	hermaphrodites	N2	increases lifespan	27.1	n/a	n/a			loss of function	gene modification		10.1371/journal.pgen.1000486	n/a
HIF1A	roundworm Caenorhabditis elegans	hermaphrodites	N2	increases lifespan	27	29.3	35.7			loss of function	gene modification		10.1371/journal.pgen.1000486	n/a
HIF1A	roundworm Caenorhabditis elegans	hermaphrodites	N2	increases lifespan	19.5	18.4	26.5			loss of function	gene modification		10.1371/journal.pgen.1000486	n/a
RPA1	roundworm Caenorhabditis elegans	hermaphrodites	GR1373	increases lifespan	5.1	n/a	21.7			loss of function	RNA interferention		10.1371/journal.pone.0048282	23144747
BLM	fly Drosophila melanogaster	female	w1118	decreases lifespan	-35	-42	-26	DNA metabolism		loss of function	gene knockout		10.1186/gb-2011-12-12-r121	n/a
BLM	fly Drosophila melanogaster	male	w1118	decreases lifespan	-37.5	-43	-27	DNA metabolism		loss of function	gene knockout		10.1186/gb-2011-12-12-r121	n/a
BLM	roundworm Caenorhabditis elegans	hermaphrodites	N2	decreases lifespan	-11.2	-9.4	-4.4			loss of function	gene knockout		10.1016/j.mad.2005.08.005	n/a
BLM	roundworm Caenorhabditis elegans	hermaphrodites	N2	decreases lifespan	-5.8	-1.8	-16.3			loss of function	gene knockout		10.1016/j.mad.2005.08.005	n/a
VCP	roundworm Caenorhabditis elegans	hermaphrodites	N2	increases lifespan	4.6	4.4	4.1			loss of function	gene knockout		10.1038/ncb2200	n/a
VCP	roundworm Caenorhabditis elegans	hermaphrodites	N2	increases lifespan	10.3	14.4	11.5			gain of function	treatment with vector with additional gene copies		10.1038/ncb2200	n/a
POLG	mouse	not specified	C57BL/6 x 129/Sv x 129/Sv-CP	decreases lifespan	n/a	n/a	n/a	cardiovascular system,skin,bone,body composition,reproductive function,hair/coat,blood,mitochondrial function,DNA metabolism		loss of function	gene modification to reduce protein activity/stability		10.1038/nature02517	15164064
POLG	mouse	not specified	n/a	decreases lifespan	n/a	-51	-55			loss of function	gene modification to reduce protein activity/stability		10.1038/ng1988	n/a
POLG	mouse	not specified	n/a	decreases lifespan	n/a	-12	-9.7			loss of function	gene modification to reduce protein activity/stability		10.1038/ng1988	n/a
POLG	mouse	not specified	n/a	decreases lifespan	n/a	n/a	n/a	bone,apoptosis,hair/coat,hearing		loss of function	gene modification to reduce protein activity/stability		10.1126/science.1112125	n/a
NR3C1	mouse	male	C57BL/6NJ	decreases lifespan	n/a	n/a	n/a	cardiovascular system		loss of function	tissue-specific gene knockout	cardiomyocytes	10.1161/JAHA.118.011012	n/a
NR3C1	mouse	female	C57BL/6NJ	decreases lifespan	n/a	n/a	n/a	cardiovascular system		loss of function	tissue-specific gene knockout	cardiomyocytes	10.1161/JAHA.118.011012	n/a
VEGFA	mouse	male	C57BL/6J  x BALB/cOlaHsd	increases lifespan	41.9	48.2	30		cardiovascular system,oxidation/antioxidant function,senescence,inflammation,skin,bone,body composition,carcinogenesis,angiogenesis,liver	gain of function	additional copies of a gene in the genome	liver	10.1126/science.abc8479	n/a
VEGFA	mouse	female	C57BL/6J  x BALB/cOlaHsd	increases lifespan	51.7	45.7	33		cardiovascular system,oxidation/antioxidant function,senescence,inflammation,skin,bone,body composition,carcinogenesis,angiogenesis,liver	gain of function	additional copies of a gene in the genome	liver	10.1126/science.abc8479	n/a
NFKB1	mouse	not specified	C57BL/6J	decreases lifespan	n/a	n/a	n/a	inflammation,nervous system,skin,bone,body composition,hair/coat		loss of function	gene knockout		10.18632/aging.100702	n/a
NFKB1	mouse	n/a	C57BL/6J	decreases lifespan	n/a	n/a	n/a			loss of function	gene knockout		10.18632/aging.100702	n/a
RAD51	yeasts 	all	wild type	decreases lifespan	n/a	n/a	n/a			loss of function	gene modification		10.1128/MCB.19.5.3848	n/a
RAD51	yeasts 	all	BY4741/2	decreases lifespan	n/a	n/a	n/a			loss of function	gene knockout		10.1016/j.cmet.2014.04.004	n/a
RAD51	yeasts 	all	BY4741/2	increases lifespan	24	n/a	n/a			gain of function	treatment with vector with additional gene copies		10.1016/j.cmet.2014.04.004	n/a
CEBPB	mouse	female	C57BL/6J	increases lifespan	14.8	20.6	13.6		glucose metabolism,immune function,body composition,carcinogenesis,liver,blood,locomotor function	loss of function	reduced expression of one of the isoforms in transgenic animals		10.7554/eLife.34985	n/a
CEBPB	mouse	male	C57BL/6J	increases lifespan	0.5	5.2	2.5		glucose metabolism,immune function,muscle,body composition,tissue regeneration,blood	loss of function	reduced expression of one of the isoforms in transgenic animals		10.7554/eLife.34985	n/a
TGFB1	fly Drosophila melanogaster	female	n/a	increases lifespan	35.3	36	30			loss of function	interfering RNA transgene		10.1371/journal.pgen.1003941	n/a
TGFB1	fly Drosophila melanogaster	female	n/a	increases lifespan	10.81	n/a	n/a		muscle	loss of function	interfering RNA transgene	muscle	10.1371/journal.pgen.1003941	n/a
TGFB1	fly Drosophila melanogaster	female	n/a	increases lifespan	11.02	n/a	n/a		muscle	loss of function	interfering RNA transgene	muscle	10.1371/journal.pgen.1003941	n/a
TGFB1	fly Drosophila melanogaster	female	n/a	increases lifespan	11.3	10	9		muscle	loss of function	interfering RNA transgene	muscle	10.1371/journal.pgen.1003941	n/a
TGFB1	fly Drosophila melanogaster	female	n/a	decreases lifespan	-15.38	-14	-12			loss of function	interfering RNA transgene	adipose tissue	10.1371/journal.pgen.1003941	n/a
TGFB1	roundworm Caenorhabditis elegans	hermaphrodites	N2	increases lifespan	26.3	18.1	32.4			loss of function	RNA interferention		10.1016/j.cub.2007.08.058	n/a
TGFB1	roundworm Caenorhabditis elegans	hermaphrodites	N2	increases lifespan	33.5	54.8	31.1			loss of function	gene modification		10.1016/j.cub.2007.08.058	n/a
TGFB1	roundworm Caenorhabditis elegans	hermaphrodites	N2	increases lifespan	20.1	11.9	27.1			loss of function	gene modification		10.1016/j.cub.2007.08.058	n/a
TGFB1	roundworm Caenorhabditis elegans	hermaphrodites	N2	increases lifespan	33.1	29.4	48.2			loss of function	gene modification		10.1016/j.cub.2007.08.058	n/a
TGFB1	roundworm Caenorhabditis elegans	hermaphrodites	N2	increases lifespan	26.8	29.4	36.1			loss of function	gene modification		10.1016/j.cub.2007.08.058	n/a
TGFB1	roundworm Caenorhabditis elegans	hermaphrodites	N2	increases lifespan	1	0	0			loss of function	gene modification		10.1016/j.cub.2007.08.058	n/a
TGFB1	roundworm Caenorhabditis elegans	hermaphrodites	N2	increases lifespan	3.5	0	6.3			loss of function	gene modification		10.1016/j.cub.2007.08.058	n/a
TGFB1	roundworm Caenorhabditis elegans	hermaphrodites	N2	increases lifespan	35.8	38.9	51.3			loss of function	gene modification		10.1016/j.cub.2007.08.058	n/a
TGFB1	roundworm Caenorhabditis elegans	hermaphrodites	N2	increases lifespan	30.8	37.1	30.5			loss of function	gene modification		10.1016/j.cub.2007.08.058	n/a
PML	mouse	male	BALB/cByJ	improves survival under stress conditions	n/a	18.2	27.6		oxidation/antioxidant function,senescence,apoptosis,stress responce	loss of function	gene knockout		10.1084/jem.20160301	n/a
GSK3B	fly Drosophila melanogaster	all	w1118	increases lifespan	n/a	n/a	n/a			loss of function	interfering RNA transgene		10.1016/j.celrep.2016.03.041	n/a
GSK3B	fly Drosophila melanogaster	all	w1118	decreases lifespan	n/a	n/a	n/a			gain of function	additional copies of a gene in the genome		10.1016/j.celrep.2016.03.041	n/a
GSK3B	fly Drosophila melanogaster	all	w1118	decreases lifespan	n/a	-29	-20			gain of function	additional copies of a gene in the genome		10.1016/j.celrep.2016.03.041	n/a
GSK3B	fly Drosophila melanogaster	all	w1118	increases lifespan	n/a	15.7	20.7			loss of function	interfering RNA transgene		10.1016/j.celrep.2016.03.041	n/a
GSK3B	fly Drosophila melanogaster	all	w1118	decreases lifespan	n/a	-61.7	-49			gain of function	additional copies of a gene in the genome		10.1016/j.celrep.2016.03.041	n/a
GSK3B	fly Drosophila melanogaster	all	w1118	improves survival under stress conditions	n/a	5	7			loss of function	interfering RNA transgene		10.1016/j.celrep.2016.03.041	n/a
HTT	mouse	not specified	Hdh140Q/140Q	increases lifespan in animals with decreased lifespans	n/a	29.2	17.2		nervous system,autophagy,cognitive function	gain of function	gene modification		10.1371/journal.pgen.1000838	n/a
HTT	mouse	all	C57BL/6 x 129/Sv	increases lifespan	n/a	17.9	17.7		autophagy,nervous system	gain of function	gene modification		10.1371/journal.pgen.1000838	n/a
HELLS	mouse	not specified	C57BL/6J	decreases lifespan	n/a	n/a	n/a	DNA metabolism,senescence,skin,bone,muscle,body composition,hair/coat		loss of function	gene modification to reduce protein activity/stability		10.1101/gad.1176104	n/a
EEF2	roundworm Caenorhabditis elegans	hermaphrodites	N2	decreases lifespan	n/a	-17.2	-26.4			loss of function	RNA interferention		10.1126/science.1139952	n/a
EEF2	roundworm Caenorhabditis elegans	hermaphrodites	N2	increases lifespan	n/a	32.4	22.5			loss of function	RNA interferention		10.1111/j.1474-9726.2011.00765.x	n/a
PRKDC	mouse	all	C57BL/6	decreases lifespan	n/a	-33.3	n/a	building and protection of telomeres,carcinogenesis		loss of function	gene knockout		10.1038/sj.embor.7400127	15105825
CAT	mouse	all	C57BL/6J	increases lifespan	n/a	17	12		cardiovascular system,oxidation/antioxidant function,eyesight	gain of function	additional copies of a gene in the genome	heart,skeletal muscles	10.1126/science.1106653	n/a
CAT	mouse	all	C57BL/6J	increases lifespan	n/a	20	16		cardiovascular system,oxidation/antioxidant function,eyesight	gain of function	additional copies of a gene in the genome	heart,brain,skeletal muscles	10.1126/science.1106653	n/a
CAT	mouse	female	C57BL/6J	increases lifespan	n/a	14.5	11.1			gain of function	additional copies of a gene in the genome	heart,brain,skeletal muscles	10.1126/science.1106653	n/a
CAT	mouse	male	C57BL/6J	increases lifespan	n/a	26.5	17.5			gain of function	additional copies of a gene in the genome		10.1126/science.1106653	n/a
CAT	mouse	all	C57BL/6J	increases lifespan	n/a	8	-1			gain of function	additional copies of a gene in the genome		10.1126/science.1106653	n/a
CAT	mouse	all	C57BL/6J	increases lifespan	n/a	12.3	7			gain of function	additional copies of a gene in the genome		10.1126/science.1106653	n/a
CAT	mouse	all	C57BL/6J	increases lifespan	n/a	10.5	2.1			gain of function	additional copies of a gene in the genome		10.1126/science.1106653	n/a
CAT	mouse	all	C57BL/6J	increases lifespan	n/a	6.5	1.6			gain of function	additional copies of a gene in the genome		10.1126/science.1106653	n/a
CAT	mouse	all	C57BL/6J	increases lifespan	n/a	13.8	5.6			gain of function	additional copies of a gene in the genome		10.1126/science.1106653	n/a
ERCC5	mouse	not specified	C57BL/6	decreases lifespan	n/a	n/a	n/a	nervous system,bone,body composition,eyesight,liver		loss of function	gene knockout		10.1371/journal.pgen.1004686	n/a
ERCC5	mouse	not specified	FVB/N	decreases lifespan	n/a	n/a	n/a	nervous system,bone,body composition,eyesight,liver		loss of function	gene knockout		10.1371/journal.pgen.1004686	n/a
ERCC5	mouse	not specified	C57BL/6J x FVB/N	decreases lifespan	n/a	n/a	n/a	nervous system,bone,body composition,eyesight,liver		loss of function	gene knockout		10.1371/journal.pgen.1004686	n/a
ERCC5	mouse	not specified	C57BL/6 x 129/Sv	decreases lifespan	n/a	n/a	n/a			switch of function	gene modification		10.1128/MCB.24.9.3712-3719.2004	n/a
AR	mouse	male	C57BL/6	decreases lifespan	-19.1	-21.7	-28.6	insulin sensitivity,lipid metabolism,cholesterol metabolism,liver		loss of function	gene knockout		10.1152/ajpendo.00461.2019	32017595
XRCC5	mouse	male	n/a	decreases lifespan	n/a	n/a	n/a	immune function,skin,bone,body composition,renal function		loss of function	gene knockout		10.1371/journal.pone.0093568	n/a
XRCC5	mouse	female	n/a	decreases lifespan	n/a	n/a	n/a	immune function,skin,bone,body composition,renal function		loss of function	gene knockout		10.1371/journal.pone.0093568	n/a
FEN1	yeasts 	all	SS111	decreases lifespan	n/a	n/a	n/a			loss of function	gene modification to reduce gene expression		10.1128/MCB.22.12.4136-4146.2002	n/a
TERF2	mouse	not specified	C57BL/6	decreases survival under stress conditions	n/a	n/a	n/a	DNA metabolism,building and protection of telomeres,skin,carcinogenesis		gain of function	additional copies of a gene in the genome	skin	10.1038/ng1633	16142233
XRCC6	roundworm Caenorhabditis elegans	hermaphrodites	N2	increases lifespan	6.4	5	7.7			loss of function	RNA interferention		10.1096/fj.04-2447fje	n/a
XRCC6	mouse	not specified	n/a	decreases lifespan	n/a	-65.9	-56.9	skin,bone,body composition,eyesight,hair/coat,building and protection of telomeres		loss of function	gene knockout		10.1128/MCB.00785-07	17875923
RB1	fish Nothobranchius furzeri	all	n/a	decreases lifespan	13	n/a	n/a			loss of function	gene knockout		10.18632/oncotarget.19424	n/a
FOXO3	roundworm Caenorhabditis elegans	hermaphrodites	N2	decreases survival under stress conditions	49	n/a	n/a			loss of function	gene knockout		10.1371/journal.pgen.1000213	n/a
FOXO3	roundworm Caenorhabditis elegans	hermaphrodites	N2	decreases lifespan	-24.5	-32.9	-22.6			loss of function	gene knockout		10.1371/journal.pgen.1000213	n/a
FOXO3	fly Drosophila melanogaster	female	white Dahomey	increases lifespan	n/a	41.6	20			gain of function	additional copies of a gene in the genome		10.1126/science.1098219	n/a
FOXO3	fly Drosophila melanogaster	female	white Dahomey	increases lifespan	5	21.8	3			gain of function	additional copies of a gene in the genome		10.1126/science.1098219	n/a
FOXO3	fly Drosophila melanogaster	female	white Dahomey	increases lifespan	n/a	52	12			gain of function	additional copies of a gene in the genome		10.1126/science.1098219	n/a
FOXO3	fly Drosophila melanogaster	male	y w	increases lifespan	n/a	27.3	n/a			gain of function	additional copies of a gene in the genome		10.1038/nature02549	n/a
FOXO3	fly Drosophila melanogaster	male	y w	increases lifespan	n/a	12.5	n/a			gain of function	additional copies of a gene in the genome		10.1038/nature02549	n/a
FOXO3	fly Drosophila melanogaster	male	y w	increases lifespan	n/a	15	n/a			gain of function	additional copies of a gene in the genome		10.1038/nature02549	n/a
FOXO3	fly Drosophila melanogaster	male	y w	increases lifespan	n/a	36.4	n/a			gain of function	additional copies of a gene in the genome		10.1038/nature02549	n/a
FOXO3	fly Drosophila melanogaster	female	y w	increases lifespan	n/a	31.3	n/a			gain of function	additional copies of a gene in the genome		10.1038/nature02549	n/a
FOXO3	fly Drosophila melanogaster	female	y w	increases lifespan	n/a	35	n/a			gain of function	additional copies of a gene in the genome		10.1038/nature02549	n/a
FOXO3	fly Drosophila melanogaster	female	y w	increases lifespan	n/a	56.3	n/a			gain of function	additional copies of a gene in the genome		10.1038/nature02549	n/a
FOXO3	fly Drosophila melanogaster	female	y w	increases lifespan	n/a	5.9	n/a			gain of function	additional copies of a gene in the genome		10.1038/nature02549	n/a
FOXO3	fly Drosophila melanogaster	male	y w	increases lifespan	n/a	9.1	n/a			gain of function	additional copies of a gene in the genome		10.1038/nature02549	n/a
FOXO3	fly Drosophila melanogaster	female	y w	increases lifespan	n/a	11.8	n/a			gain of function	additional copies of a gene in the genome		10.1038/nature02549	n/a
FOXO3	fly Drosophila melanogaster	male	y w	increases lifespan	n/a	24.5	16			gain of function	additional copies of a gene in the genome		10.1038/nature02549	n/a
FOXO3	fly Drosophila melanogaster	male	y w	increases lifespan	n/a	34.7	21.5			gain of function	additional copies of a gene in the genome		10.1038/nature02549	n/a
FOXO3	fly Drosophila melanogaster	male	y w	increases lifespan	n/a	24	n/a			gain of function	additional copies of a gene in the genome		10.1038/nature02549	n/a
FOXO3	fly Drosophila melanogaster	female	y w	increases lifespan	n/a	18.2	n/a			gain of function	additional copies of a gene in the genome		10.1038/nature02549	n/a
FOXO3	fly Drosophila melanogaster	male	y w	increases lifespan	n/a	5.3	n/a			gain of function	additional copies of a gene in the genome		10.1038/nature02549	n/a
FOXO3	fly Drosophila melanogaster	female	y w	increases lifespan	n/a	14.3	n/a			gain of function	additional copies of a gene in the genome		10.1038/nature02549	n/a
FOXO3	fly Drosophila melanogaster	male	y w	increases lifespan	n/a	22.1	12.6			gain of function	additional copies of a gene in the genome		10.1038/nature02549	n/a
FOXO3	fly Drosophila melanogaster	male	y w	decreases lifespan	n/a	-20	n/a			gain of function	additional copies of a gene in the genome		10.1038/nature02549	n/a
FOXO3	fly Drosophila melanogaster	male	y w	decreases lifespan	n/a	-10.4	n/a			gain of function	additional copies of a gene in the genome		10.1038/nature02549	n/a
FOXO3	fly Drosophila melanogaster	female	y w	no change	n/a	0	n/a			gain of function	additional copies of a gene in the genome		10.1038/nature02549	n/a
FOXO3	fly Drosophila melanogaster	female	y w	decreases lifespan	n/a	-10	n/a			gain of function	additional copies of a gene in the genome		10.1038/nature02549	n/a
FOXO3	fly Drosophila melanogaster	male	y w	no change	n/a	-2.9	-0.9			gain of function	additional copies of a gene in the genome		10.1038/nature02549	n/a
FOXO3	fly Drosophila melanogaster	male	y w	decreases lifespan	n/a	-10.5	0			gain of function	additional copies of a gene in the genome		10.1038/nature02549	n/a
FOXO3	fly Drosophila melanogaster	male	y w	increases lifespan	n/a	12.5	n/a			gain of function	additional copies of a gene in the genome		10.1038/nature02549	n/a
FOXO3	fly Drosophila melanogaster	male	y w	increases lifespan	n/a	4	n/a			gain of function	additional copies of a gene in the genome		10.1038/nature02549	n/a
FOXO3	fly Drosophila melanogaster	female	y w	increases lifespan	n/a	5.3	n/a			gain of function	additional copies of a gene in the genome		10.1038/nature02549	n/a
FOXO3	fly Drosophila melanogaster	female	y w	increases lifespan	n/a	5.3	n/a			gain of function	additional copies of a gene in the genome		10.1038/nature02549	n/a
FOXO3	fly Drosophila melanogaster	male	y w	increases lifespan	n/a	13.1	3.7			gain of function	additional copies of a gene in the genome		10.1038/nature02549	n/a
FOXO3	fly Drosophila melanogaster	male	y w	no change	n/a	-2.5	-2.7			gain of function	additional copies of a gene in the genome		10.1038/nature02549	n/a
FOXO3	fly Drosophila melanogaster	male	y w	no change	n/a	-4.8	n/a			gain of function	additional copies of a gene in the genome		10.1038/nature02549	n/a
FOXO3	fly Drosophila melanogaster	male	y w	no change	n/a	0	n/a			gain of function	additional copies of a gene in the genome		10.1038/nature02549	n/a
FOXO3	fly Drosophila melanogaster	female	y w	no change	n/a	0	n/a			gain of function	additional copies of a gene in the genome		10.1038/nature02549	n/a
FOXO3	fly Drosophila melanogaster	female	y w	no change	n/a	9.1	n/a			gain of function	additional copies of a gene in the genome		10.1038/nature02549	n/a
FOXO3	fly Drosophila melanogaster	male	y w	no change	n/a	-1.8	-6.8			gain of function	additional copies of a gene in the genome		10.1038/nature02549	n/a
FOXO3	fly Drosophila melanogaster	male	y w	no change	n/a	0	3.2			gain of function	additional copies of a gene in the genome		10.1038/nature02549	n/a
FOXO3	fly Drosophila melanogaster	male	y w	no change	n/a	0	n/a			gain of function	additional copies of a gene in the genome		10.1038/nature02549	n/a
